Unique ID,Date of Collection,Collector Name,Source Platform,Source Publication,Original Date,Title/Headline,URL,Search Query Used,Fraud Category,Fraud Subcategory,Narrative Type,TXT File Name,Notes
NA-4319,2026-03-30,Soubhik Sarkar,Indian Kanoon,indiankanoon.org,"14 January, 2022","Kotak Mahindra Bank Ltd. vs K.Seetharam Bhat on 14 January, 2022",https://indiankanoon.org/doc/139318141/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,THIRD-PARTY,NA-4319.txt,Court: State Consumer Disputes Redressal Commission | Doc ID: 139318141
NA-4320,2026-03-30,Soubhik Sarkar,Indian Kanoon,indiankanoon.org,"13 May, 2022","Mahesh Kumar Poddar vs The State Of Jharkhand on 13 May, 2022",https://indiankanoon.org/doc/157003932/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,VICTIM,NA-4320.txt,Court: Jharkhand High Court | Doc ID: 157003932
NA-4321,2026-03-30,Soubhik Sarkar,Indian Kanoon,indiankanoon.org,"14 January, 2022","The Chief Manager vs K.Seetharam Bhat on 14 January, 2022",https://indiankanoon.org/doc/147390199/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,THIRD-PARTY,NA-4321.txt,Court: State Consumer Disputes Redressal Commission | Doc ID: 147390199
NA-4322,2026-03-30,Soubhik Sarkar,Indian Kanoon,indiankanoon.org,"14 January, 2022","The Chief Manager vs K.Seetharam Bhat on 14 January, 2022",https://indiankanoon.org/doc/136280608/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,THIRD-PARTY,NA-4322.txt,Court: State Consumer Disputes Redressal Commission | Doc ID: 136280608
NA-4323,2026-03-30,Soubhik Sarkar,Indian Kanoon,indiankanoon.org,"13 July, 2022","Jaydeep Madhukar Wakankar vs The State Of Andhra Pradesh on 13 July, 2022",https://indiankanoon.org/doc/56699948/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,NEAR-MISS,NA-4323.txt,Court: Andhra Pradesh High Court - Amravati | Doc ID: 56699948
NA-4324,2026-03-30,Soubhik Sarkar,Indian Kanoon,indiankanoon.org,"21 July, 2014","Adv R.Mahalakshmi vs Commissioner Of Police on 21 July, 2014",https://indiankanoon.org/doc/68207149/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,NEAR-MISS,NA-4324.txt,Court: Madras High Court | Doc ID: 68207149
NA-4325,2026-03-30,Soubhik Sarkar,Indian Kanoon,indiankanoon.org,"4 October, 2021","K. Mathamma vs The State Of Telangana And 9 Others on 4 October, 2021",https://indiankanoon.org/doc/71199828/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,NEAR-MISS,NA-4325.txt,Court: Telangana High Court | Doc ID: 71199828
NA-4326,2026-03-30,Soubhik Sarkar,Indian Kanoon,indiankanoon.org,"25 April, 2014","Rajeev Sawhney S/O.Late W.N.Sawhney vs The Inspector Of PoliceCyberCrimeWing on 25 April, 2014",https://indiankanoon.org/doc/59897051/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,THIRD-PARTY,NA-4326.txt,Court: Madras High Court | Doc ID: 59897051
NA-4327,2026-03-30,Soubhik Sarkar,Indian Kanoon,indiankanoon.org,"27 January, 2017","State ByCyberCrimePolice vs 2. Abubakar Siddique S/O Hayathulla on 27 January, 2017",https://indiankanoon.org/doc/101865435/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,THIRD-PARTY,NA-4327.txt,Court: Bangalore District Court | Doc ID: 101865435
NA-4328,2026-03-30,Soubhik Sarkar,Indian Kanoon,indiankanoon.org,"9 August, 2024","A.Kamala vs The State on 9 August, 2024",https://indiankanoon.org/doc/97529164/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,NEAR-MISS,NA-4328.txt,Court: Madras High Court | Doc ID: 97529164
NA-4329,2026-03-30,Soubhik Sarkar,Indian Kanoon,indiankanoon.org,"9 August, 2024","A.Kamala vs The State on 9 August, 2024",https://indiankanoon.org/doc/128274054/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,NEAR-MISS,NA-4329.txt,Court: Madras High Court | Doc ID: 128274054
