Unique ID,Date of Collection,Collector Name,Source Platform,Source Publication,Original Date,Title/Headline,URL,Search Query Used,Fraud Category,Fraud Subcategory,Narrative Type,TXT File Name,Notes
NA-28130,02-04-2026,Soubhik Sarkar,The Print,theprint.in,12-03-2026,Rajasthan DGP reviews cyber crime branch; orders expansion of 1930 helpline,https://theprint.in/india/rajasthan-dgp-reviews-cyber-crime-branch-orders-expansion-of-1930-helpline/2877462/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,VICTIM,NA-28130.txt,Author: PTI
NA-28131,02-04-2026,Soubhik Sarkar,The Print,theprint.in,31-03-2026,Bengal Police arrest industrialist Pawan Ruia in multi-crore cyber fraud case,https://theprint.in/india/bengal-police-arrest-industrialist-pawan-ruia-in-multi-crore-cyber-fraud-case/2893361/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,THIRD-PARTY,NA-28131.txt,Author: PTI
NA-28132,02-04-2026,Soubhik Sarkar,The Print,theprint.in,31-03-2026,"CCTNS 2.0 to be AI powered; crime prediction, criminal profiling tools to be part of software: MHA",https://theprint.in/india/cctns-2-0-to-be-ai-powered-crime-prediction-criminal-profiling-tools-to-be-part-of-software-mha/2893265/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,THIRD-PARTY,NA-28132.txt,Author: PTI
NA-28133,02-04-2026,Soubhik Sarkar,The Print,theprint.in,31-03-2026,"Rajkot cop, female friend injured after his service weapon goes off accidentally",https://theprint.in/india/rajkot-cop-female-friend-injured-after-his-service-weapon-goes-off-accidentally/2893319/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,THIRD-PARTY,NA-28133.txt,Author: PTI
NA-28134,02-04-2026,Soubhik Sarkar,The Print,theprint.in,26-03-2026,ZPM women’s wing files police complaint over ‘defamatory’ post targeting legislator,https://theprint.in/india/zpm-womens-wing-files-police-complaint-over-defamatory-post-targeting-legislator/2889551/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,THIRD-PARTY,NA-28134.txt,Author: PTI
NA-28135,02-04-2026,Soubhik Sarkar,The Print,theprint.in,24-03-2026,Delhi tops cybersecurity incidents as cases double nationwide since 2021: Govt,https://theprint.in/india/delhi-tops-cybersecurity-incidents-as-cases-double-nationwide-since-2021-govt/2887649/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,NEAR-MISS,NA-28135.txt,Author: PTI
NA-28136,02-04-2026,Soubhik Sarkar,The Print,theprint.in,28-03-2026,Punjab: Retired ITBP officer loses Rs 17.52 lakh in online fraud,https://theprint.in/india/punjab-retired-itbp-officer-loses-rs-17-52-lakh-in-online-fraud/2890972/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,THIRD-PARTY,NA-28136.txt,Author: PTI
NA-28137,02-04-2026,Soubhik Sarkar,The Print,theprint.in,25-03-2026,Man from Bihar held for online fraud in J’khand,https://theprint.in/india/man-from-bihar-held-for-online-fraud-in-jkhand/2888387/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,VICTIM,NA-28137.txt,Author: PTI
NA-28138,02-04-2026,Soubhik Sarkar,The Print,theprint.in,24-03-2026,"Parliament Budget session resumes today, Modi to address Rajya Sabha on West Asia conflict",https://theprint.in/india/parliament-budget-session-resumes-today-modi-to-address-rajya-sabha-on-west-asia-conflict/2887065/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,THIRD-PARTY,NA-28138.txt,Author: ANI
NA-28139,02-04-2026,Soubhik Sarkar,The Print,theprint.in,24-03-2026,IT ministry issues SOP to curb non-consensual intimate imagery online,https://theprint.in/india/it-ministry-issues-sop-to-curb-non-consensual-intimate-imagery-online/2887791/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,VICTIM,NA-28139.txt,Author: PTI
NA-28140,02-04-2026,Soubhik Sarkar,The Print,theprint.in,26-03-2026,"Kerala police register case against X for circulating AI-generated ‘defamatory’ video of PM, ECI",https://theprint.in/politics/kerala-police-register-case-against-x-for-circulating-ai-generated-defamatory-video-of-pm-eci/2889424/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,THIRD-PARTY,NA-28140.txt,Author: PTI
NA-28141,02-04-2026,Soubhik Sarkar,The Print,theprint.in,24-03-2026,"ED identified Rs 36,000 crore in cybercrime proceeds in 257 cases till Feb 28: Govt",https://theprint.in/india/ed-identified-rs-36000-crore-in-cybercrime-proceeds-in-257-cases-till-feb-28-govt/2887557/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,VICTIM,NA-28141.txt,Author: PTI
NA-28142,02-04-2026,Soubhik Sarkar,The Print,theprint.in,25-03-2026,"Hindus, Muslims, Christians involved in 122 incidents of disorder in 2025: Odisha govt",https://theprint.in/india/hindus-muslims-christians-involved-in-122-incidents-of-disorder-in-2025-odisha-govt/2888742/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,THIRD-PARTY,NA-28142.txt,Author: PTI
NA-28143,02-04-2026,Soubhik Sarkar,The Print,theprint.in,23-03-2026,"Gurugram Police bust Philippines-linked cyber fraud gang, one held",https://theprint.in/india/gurugram-police-bust-philippines-linked-cyber-fraud-gang-one-held/2886844/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,THIRD-PARTY,NA-28143.txt,Author: PTI
NA-28144,02-04-2026,Soubhik Sarkar,The Print,theprint.in,22-03-2026,Janasena MLA loses Rs 12 lakh in fake RTA challan cyber fraud,https://theprint.in/india/janasena-mla-loses-rs-12-lakh-in-fake-rta-challan-cyber-fraud/2885918/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,VICTIM,NA-28144.txt,Author: PTI
NA-28145,02-04-2026,Soubhik Sarkar,The Print,theprint.in,18-03-2026,Farudsters impersonate Zuckerberg dupe retired Kanpur teacher of Rs 1.57 Cr,https://theprint.in/india/farudsters-impersonate-zuckerberg-dupe-retired-kanpur-teacher-of-rs-1-57-cr/2882969/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,VICTIM,NA-28145.txt,Author: PTI
NA-28146,02-04-2026,Soubhik Sarkar,The Print,theprint.in,20-03-2026,Bangladesh man arrested for sending fake bomb threats to Gurugram schools: Police,https://theprint.in/india/bangladesh-man-arrested-for-sending-fake-bomb-threats-to-gurugram-schools-police/2884867/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,THIRD-PARTY,NA-28146.txt,Author: PTI
NA-28147,02-04-2026,Soubhik Sarkar,The Print,theprint.in,23-03-2026,"Love in the time of KYC: House panel wants KYC made mandatory for social media, dating & gaming apps",https://theprint.in/india/governance/love-in-the-time-of-kyc-house-panel-wants-kyc-made-mandatory-for-social-media-dating-gaming-apps/2886501/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,VICTIM,NA-28147.txt,Author: Vrinda Tulsian
NA-28148,02-04-2026,Soubhik Sarkar,The Print,theprint.in,18-03-2026,Man held in Noida for Rs 12-lakh fake tour packages fraud,https://theprint.in/india/man-held-in-noida-for-rs-12-lakh-fake-tour-packages-fraud/2882911/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,VICTIM,NA-28148.txt,Author: PTI
NA-28149,02-04-2026,Soubhik Sarkar,The Print,theprint.in,14-03-2026,Over Rs 1cr lost in ‘digital arrest’ fraud by elderly man recovered by Kochi cyber police,https://theprint.in/india/over-rs-1cr-lost-in-digital-arrest-fraud-by-elderly-man-recovered-by-kochi-cyber-police/2879015/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,VICTIM,NA-28149.txt,Author: PTI
NA-28150,02-04-2026,Soubhik Sarkar,The Print,theprint.in,16-03-2026,Arunachal govt transfers 27 senior police officers in major reshuffle,https://theprint.in/india/arunachal-govt-transfers-27-senior-police-officers-in-major-reshuffle/2880060/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,THIRD-PARTY,NA-28150.txt,Author: PTI
NA-28151,02-04-2026,Soubhik Sarkar,The Print,theprint.in,12-03-2026,Awareness programme on women’s safety held in Rajasthan,https://theprint.in/india/awareness-programme-on-womens-safety-held-in-rajasthan/2877513/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,NEAR-MISS,NA-28151.txt,Author: PTI
NA-28152,02-04-2026,Soubhik Sarkar,The Print,theprint.in,15-03-2026,Fake call centre in Navi Mumbai dupes people of Rs 1 crore; two held,https://theprint.in/india/fake-call-centre-in-navi-mumbai-dupes-people-of-rs-1-crore-two-held/2879395/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,VICTIM,NA-28152.txt,Author: PTI
NA-28153,02-04-2026,Soubhik Sarkar,The Print,theprint.in,16-03-2026,"Officials remove banners, posters as MCC comes into force in TN",https://theprint.in/india/officials-remove-banners-posters-as-mcc-comes-into-force-in-tn/2880789/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,NEAR-MISS,NA-28153.txt,Author: PTI
NA-28154,02-04-2026,Soubhik Sarkar,The Print,theprint.in,10-03-2026,Punjab: 3 cyber fraudsters using voice-changing software to dupe women held,https://theprint.in/india/punjab-3-cyber-fraudsters-using-voice-changing-software-to-dupe-women-held/2875313/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,VICTIM,NA-28154.txt,Author: PTI
NA-28155,02-04-2026,Soubhik Sarkar,The Print,theprint.in,01-04-2026,Accused money laundering leader extradited from Cambodia to China,https://theprint.in/world/accused-money-laundering-leader-extradited-from-cambodia-to-china/2893990/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,THIRD-PARTY,NA-28155.txt,Author: Reuters
NA-28156,02-04-2026,Soubhik Sarkar,The Print,theprint.in,31-03-2026,Student held for ‘sexually abusing’ 5-year-old girl in Telangana,https://theprint.in/india/student-held-for-sexually-abusing-5-year-old-girl-in-telangana/2893467/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,VICTIM,NA-28156.txt,Author: PTI
NA-28157,02-04-2026,Soubhik Sarkar,The Print,theprint.in,30-03-2026,"Cops in anti-Naxal units to get medals, says Fadnavis; asks officials to pursue digitisation",https://theprint.in/india/cops-in-anti-naxal-units-to-get-medals-says-fadnavis-asks-officials-to-pursue-digitisation/2892527/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,VICTIM,NA-28157.txt,Author: PTI
NA-28158,02-04-2026,Soubhik Sarkar,The Print,theprint.in,02-04-2026,Cambodia says it extradited accused money laundering leader to China,https://theprint.in/world/cambodia-says-it-extradited-accused-money-laundering-leader-to-china/2894634/,cyber crime,General Cybercrime / Cyber Fraud Terms,General Cybercrime,THIRD-PARTY,NA-28158.txt,Author: Reuters
